"ADDRESSMAIL","ADDRESSPHYSICAL","ALTERNATEDISTRICTNAME","ALTSCHOOLNAME","CHWEBURL","CITY","COUNTYNAME","DISTRICTCODE","DISTRICTNAME","GRADESERVEDRANGE","PRINEMAIL","PRINFIRSTNAME","PRINFULLNAME","PRINLASTNAME","PRINPHONE","PRINTITLE","REGION","SCHOOLCODE","SCHOOLEMAIL","SCHOOLFAX","SCHOOLNAME","SCHOOLPHONE","SCHOOLYEAR","SID","STATE","ZIP",
"","114 Gloria Rush Circle","Aiken County Public Schools","Gloverville Elementary","http://www.acpsd.net/GLES","Gloverville","Aiken                                             ",0201,"Aiken 01                                          ","PK-5 SPED           ","shyer@acpsd.net","Roxanne","field no longer used","Hyer","803-593-7280","Ms.","Lower Savannah",029,"",8035937281,"Gloverville Elem                                  ",8035937280,2020,0201029,"SC",29828,
"","1000 Dave Gibson Boulevard","Fort Mill School District","Gold Hill Elementary","http://ghes.fortmillschools.org ","Tega Cay","York                                              ",4604,"York 04                                           ","K-5 SPED            ","burrisj@fortmillschools.org ","Joshua","field no longer used","Burris","803-548-8250","Mr.","Catawba",048,"",8035488147,"Gold Hill Elem                                    ",8035488250,2020,4604048,"SC",29708,
"","1025 Dave Gibson Boulevard","Fort Mill School District","Gold Hill Middle","http://fortmillghms.ss11.sharpschool.com/","Tega Cay","York                                              ",4604,"York 04                                           ","6-8 SPED            ","mcneilc@fortmillschools.org ","Christine","field no longer used","McNeil","803-548-8300","Ms.","Catawba",049,"",8035488322,"Gold Hill Middle                                  ",8035488300,2020,4604049,"SC",29708,
"","1120 East Butler Road","The School District of Greenville County","Golden Strip Career and Technology Center","http://www.greenville.k12.sc.us/gstripcc/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","9-12 SPED          ","jflucas@greenville.k12.sc.us","J.F.","field no longer used","Lucas","864-355-1050","Mr.","Greenville",998,"",8643551058,"Golden Strip Career/Tech. Ctr                     ",8643551050,2020,2301998,"SC",29607,
"","200 Foster Creek Road","Berkeley County School District","Goose Creek Elementary","http://www.bcsdschools.net/gcp","Goose Creek","Berkeley                                          ",0801,"Berkeley 01                                       ","PK-5 SPED           ","sullivak@bcsdschools.net","Kathy  ","field no longer used","Sullivan","843-820-8008","Ms.","Trident",046,"",8438208016,"Goose Creek Elementary        ",8438208010,2020,0801046,"SC",29445,
"","1137 Red Bank Road","Berkeley County School District","Goose Creek High School","http://www.bcsdschools.net/gch","Goose Creek","Berkeley                                          ",0801,"Berkeley 01                                       ","9-12 SPED          ","washingtons@bcsdschools.net","Shameka","field no longer used","Washington","843-553-5300","Ms.","Trident",007,"",8435538034,"Goose Creek High                                  ",8435535300,2020,0801007,"SC",29445,
"","926 Perry Avenue","Dillion 4","Gordon Elementary","http://www.dillon.k12.sc.us/cms/One.aspx?portalId=83510&pageId=216215","Dillon","Dillon                                            ",1704,"Dillon 04                                         ","4-5 SPED            ","whitfieldiiif@dillon.k12.sc.us","Famon","field no longer used","Whitfield,III","843-774-1229","Mr.","Pee Dee",009,"",8438413607,"Gordon Elementary                                 ",8437741227,2020,1704009,"SC",29536,
"","604 Goucher School Road","Cherokee County School District","Goucher Elementary","https://ges.cherokee1.org/","Gaffney","Cherokee                                          ",1101,"Cherokee 01                                       ","PK-5 SPED      ","Karen.Henderson@cherokee1.org","Karen","field no longer used","Henderson","864-206-6890","Mr..","Upstate",012,"",8649023656,"Goucher Elem                                      ",8642066890,2020,1101012,"SC",29340,
"","401 Railroad Avenue","Governor's School for Math and Science","Governor's School for Math and Science","http://www.scgssm.org","Hartsville","Governor's School",5395,"Governor's School for Math and Science","11-12","hflores@gssm.k12.sc.us.","Hector","field no longer used","Flores",8433833902,"Dr.","Special REC",001,"",8433833903,"Governor's School for Math and Science",8433833900,2020,5395001,"SC",29550,
"","1 Willis Circle","Aiken County Public Schools","Graniteville Elementary","https://www.acpsd.net/GVES","Graniteville","Aiken                                             ",0201,"Aiken                                 ","PK-5 SPED      ","mpadgett@acpsd.net","Michelle","","Padgett","803-663-9998","Ms.","",066,"",8036639999,"Graniteville Elementary","803663-998",2020,0201066,"SC",29829,
"","1146 Boiling Springs Highway","Cherokee County School District","Grassy Pond Elementary","https://gpe.cherokee1.org/","Gaffney","Cherokee                                          ",1101,"Cherokee 01                                       ","PK-5 SPED      ","Ginger.Lipcomb@cherokee1.org","Ginger","field no longer used","Lipscomb","864-206-6671","Mrs.","Upstate",022,"",8644871255,"Grassy Pond Elem                                  ",8642066671,2020,1101022,"SC",29341,
"","3833 Leaphart Road","Charter Institute at Erskine","Gray Collegiate Academy","https://www.graycollegiateacademy.org/","West Columbia","",4801,"Charter Institute at Erskine","9-12 SPED","bnewsome@grayca.com","Brian","","Newsome","803-951-3321","Dr.","",007,"",8033819764,"Gray Collegiate Academy",8039513321,2020,4801007,"SC",29169,
"","9210 Highway 14","Laurens County School District No. 55","Gray Court-Owings Elementary/Middle","http://www.gcoschool.org/","Gray Court ","Laurens                                           ",3055,"Laurens 55                                        ","PK-8 SPED           ","kpenland@laurens55.org","Kimberly","","Penland","864-876-2131","Mrs.","",016,"",8648769597,"Gray Court-Owings Ele/Mid",8648762131,2020,3055016,"SC",29645,
"","301 Dearborn Street","Chester County School District","Great Falls Elementary","http://GFE.Chester.k12.sc.us","Great Falls","Chester                                           ",1201,"Chester 01                                        ","PK-5 SPED      ","ttaylor@chester.k12.sc.us","Tammy ","field no longer used","Taylor","803-482-2214","Mrs.","Catawba",011,"",8034826800,"Great Falls Elem                                  ",8034822214,2020,1201011,"SC",29055,
"","409 Sunset Avenue","Chester County School District","Great Falls High School","http://GFC.Chester.k12.sc.us","Great Falls","Chester                                           ",1201,"Chester 01                                        ","6-12 SPED          ","rsanders@chester.k12.sc.us","Jamal","field no longer used","Sanders","803-482-2210","Mr.","Catawba",005,"",8034824896,"Great Falls High",8034822210,2020,1201005,"SC",29055,
"","7 Varner Avenue","Williamsburg County School District","Greeleyville Elementary","https://www.wcsd.k12.sc.us/Domain/12","Greeleyville","Williamsburg                                      ",4501,"Williamsburg 01                                   ","PK-5 SPED      ","bnmack@wcsd.k12.sc.us","Berlinda","field no longer used","Mack","843-426-2116","Mrs.","Waccamaw",017,"",8433553213,"Greeleyville Elem                                 ",8434262116,2020,4501017,"SC",29056,
"","1440 Pelham Road","SC Public School Charter District","GREEN Charter School","http://www.scgreencharter.org/","Greenville","SC Public Chart                                   ",4701,"SC Public Charter School District                 ","PK-12 SPED","adokmeci@scgreencharter.org","Adem ","","Dokmeci","864-288-4134","Mr.","",026,"",8642880826,"GREEN Charter School",8642884134,2020,4701026,"SC",29615,
"","8150 Warren H. Abernathy Highway","SC Public School Charter District","GREEN Charter School of Spartanburg","https://www.scgreencharter.org/index.php/our-schools/spartanburg-campus","Spartanburg","NONE                               ",4701,"SC Public Charter School District                 ","K-6 SPED","Fkandil@scgreencharter.org","Fatih","","Kandil","864-586-3939","Mr.","",057,"","","GREEN Charter School of Spartanburg","864-586-3939",2020,4701057,"SC",29301,
"","7820 Broad River Road","SC Public School Charter District","GREEN Charter School of the Midlands","http://scgreencharter.org/gcom/","Irmo","NONE                               ",4701,"SC Public Charter School District                 ","K-8 SPED           ","jadams@scgreencharter.org ","John","","Adams","803-563-5987","Mr.","",044,"",8035635438,"GREEN Charter School of the Midlands",8035635987,2020,4701044,"SC",29063,
"","5000 Tulip Grove Road","Horry County Schools","Green Sea Floyds Elementary","http://gsfe.horrycountyschools.net/","Green Sea","Horry                                             ",2601,"Horry 01                                          ","PK-5 SPED      ","mgause@horrycountyschools.net","Melissa","field no longer used","Gause","843-392-1078","Mrs.","Waccamaw",023,"",8433921090,"Green Sea Floyds Elem                             ",8433921078,2020,2601023,"SC",29545,
"","4990 Tulip Grove Road","Horry County Schools","Green Sea Floyds High School","http://gsfh.horrycountyschools.net/","Green Sea","Horry                                             ",2601,"Horry 01                                          ","6-12 SPED      ","apridgen@horrycountyschools.net","Andrea","field no longer used","Pridgen","843-392-3131","Dr.","Waccamaw",006,"",8433929805,"Green Sea Floyds High                             ",8433923131,2020,2601006,"SC",29545,
"","853 Log Shoals Road","The School District of Greenville County","Greenbrier Elementary","http://www.greenville.k12.sc.us/gbrier/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","PK-5 SPED      ","lbrown@greenville.k12.sc.us","Le'Keisha ","field no longer used","Brown","864-355-5300","Ms.","Greenville",101,"",8643555327,"Greenbrier Elem                                   ",8643555300,2020,2301101,"SC",29607,
"","505 South Boundary Avenue","Aiken County Public Schools","Greendale Elementary School","http://www.acpsd.net/GRES","New Ellenton","Aiken                                             ",0201,"Aiken 01                                          ","PK-5 SPED          ","cbarker@acpsd.net","Caroline","field no longer used","Barker","803-652-8170","Ms.","Lower Savannah",030,"",8036528173,"Greendale Elem                                    ",8036528170,2020,0201030,"SC",29809,
"","339 Lowndes Avenue","The School District of Greenville County","Greenville Middle Academy","https://www.greenville.k12.sc.us/gvillem/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","6-8 SPED       ","yandrews@greenville.k12.sc.us","Nicky","field no longer used","Andrews","864-355-5600","Mrs.","Greenville",059,"",8643555682,"Greenville Middle Academy                                ",8643555600,2020,2301059,"SC",29607,
